State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
SC,29616,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29617,PICKENS,0.070000,0.060000,0.010000,0.000000,0.000000,0
SC,29620,MCCORMICK,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29621,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29622,ANDERSON,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29623,ANDERSON,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29624,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29625,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29626,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29627,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29628,MCCORMICK,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29630,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29631,CLEMSON,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29632,CLEMSON,0.070000,0.060000,0.000000,0.010000,0.000000,0
SC,29633,CLEMSON,0.070000,0.060000,0.000000,0.010000,0.000000,0
SC,29634,PICKENS,0.070000,0.060000,0.010000,0.000000,0.000000,0
SC,29635,PICKENS,0.070000,0.060000,0.010000,0.000000,0.000000,0
SC,29636,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29638,GREENWOOD CO CAPITAL PROJECTS TAX SL,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29639,ABBEVILLE,0.070000,0.060000,0.010000,0.000000,0.000000,0
SC,29640,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29641,EASLEY,0.070000,0.060000,0.000000,0.010000,0.000000,0
SC,29642,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29643,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29644,LAURENS,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29645,GRAY COURT,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29646,GREENWOOD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29647,GREENWOOD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29648,GREENWOOD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29649,GREENWOOD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29650,SPARTANBURG CO CAPITAL PROJECTS TAX SP,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29651,SPARTANBURG CO CAPITAL PROJECTS TAX SP,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29652,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29653,WARE SHOALS,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29654,LAURENS,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29655,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29656,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29657,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29658,OCONEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29659,LOWNDESVILLE,0.070000,0.060000,0.000000,0.010000,0.000000,0
SC,29661,PICKENS,0.070000,0.060000,0.010000,0.000000,0.000000,0
SC,29662,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29664,OCONEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29665,OCONEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29666,SALUDA CO CAPITAL PROJECTS TAX SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29667,NORRIS,0.070000,0.060000,0.000000,0.010000,0.000000,0
SC,29669,WEST PELZER,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29670,CLEMSON,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29671,PICKENS,0.070000,0.060000,0.010000,0.000000,0.000000,0
SC,29672,OCONEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29673,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29675,OCONEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29676,PICKENS,0.070000,0.060000,0.010000,0.000000,0.000000,0
SC,29677,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29678,OCONEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29679,SENECA,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29680,FOUNTAIN INN,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29681,LAURENS,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29682,PICKENS,0.070000,0.060000,0.010000,0.000000,0.000000,0
SC,29683,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29684,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29685,PICKENS,0.070000,0.060000,0.010000,0.000000,0.000000,0
SC,29686,OCONEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29687,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29688,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29689,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29690,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29691,OCONEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29692,LAURENS,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29693,OCONEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
